State, parcel level, k, n, m, s, obj_wo_symmetry, time_wo_symmetry, obj_w_symmetry, time_w_symmetry, 
NM,county,3,33,78,4,Infeasible,0.04,Infeasible,0.03, 
NM,county,3,33,78,4,Infeasible,0.04,Infeasible,0.03, 
NM,county,3,33,78,4,Infeasible,0.04,Infeasible,0.03, 
NM,county,3,33,78,4,Infeasible,0.05,Infeasible,0.03, 
NM,county,3,33,78,5,1,0.05,1,0.10, 
