State, parcel, k, n, m, objective, time (s), x & z fixed (%)
NM,county,3,33,78,1.00,0.01,33.33,
NJ,tract,12,2181,6061,2.00,10.91,16.67,
NM,tract,3,612,1631,2.00,0.18,66.67,
CO,tract,8,1447,3909,1.00,0.87,12.50,
IL,tract,17,3265,8728,3.00,27.53,17.65,
AZ,tract,9,1765,4593,3.00,7.52,33.33,
TX,tract,38,6896,18554,24.00,2261.90,63.16,
