State, parcel, n, m, num_minority_districts, s, feasible/infeasible/unknown, time 
GA,tract,2796,7762,7,14,Infeasible,537.22
,,,,7,15,Infeasible,695.92
,,,,7,16,Unknown,timeout 
,,,,7,17,Unknown,timeout 
GA,tract,2796,7762,6,14,Unknown,timeout 
,,,,6,15,Unknown,timeout 
GA,tract,2796,7762,5,14,Unknown,timeout 
,,,,5,15,Unknown,timeout 
GA,tract,2796,7762,4,14,Unknown,timeout 
,,,,4,15,Unknown,timeout 
OH,tract,3168,8747,2,13,Infeasible,0.01
,,,,2,14,Infeasible,0.01
,,,,2,15,Infeasible,0.01
,,,,2,16,Infeasible,0.01
,,,,2,17,Infeasible,0.01
,,,,2,18,Infeasible,0.18
,,,,2,19,Infeasible,1.37
,,,,2,20,Infeasible,6.80
,,,,2,21,Infeasible,10.11
,,,,2,22,Infeasible,8.49
,,,,2,23,Infeasible,16.35
,,,,2,24,Infeasible,7.10
,,,,2,25,Infeasible,11.77
,,,,2,26,Unknown,timeout 
,,,,2,27,Unknown,timeout 
OH,tract,3168,8747,1,13,Infeasible,0.01
,,,,1,14,Infeasible,0.02
,,,,1,15,Infeasible,0.01
,,,,1,16,Infeasible,0.01
,,,,1,17,Infeasible,0.01
,,,,1,18,Infeasible,156.09
,,,,1,19,Unknown,timeout 
,,,,1,20,Unknown,timeout 
